                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3105,                 2.3806,                 1.2553,                0.84102,                0.71831,                 0.8041,                0.56181,                 1.1254,                 1.2379,                 1.1432,             0.00064815,             0.00064815,             0.00064815
                      2,                  1.262,                 1.1176,                 1.1825,                0.84102,                0.71831,                 0.8041,                0.56181,                    nan,                    nan,                    nan,              0.0012627,              0.0012627,              0.0012627
                      3,                 1.4418,                 1.2497,                 1.3196,                0.00051,                0.12676,                0.00029,                  8e-05,                 4.7191,                    inf,                  184.7,              0.0018245,              0.0018245,              0.0018245
                      4,                 1.3767,                 1.0871,                 1.3115,                0.00051,                0.12676,                0.00029,                  8e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2813,                0.95955,                 1.2352,                0.35272,                0.54495,                0.25544,                0.14258,                 1.5851,                  4.471,                  1.849,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2871,                0.93544,                 1.2522,                0.81053,                0.85915,                 0.8983,                0.64021,                 1.0731,                 1.3484,                 1.2162,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2565,                0.85778,                 1.2202,                0.80572,                0.90141,                 0.9237,                0.62591,                 1.1256,                 1.6532,                 1.2323,               0.001604,               0.001604,               0.001604
                      8,                 1.2309,                0.86192,                 1.2048,                      1,                0.93184,                 0.9778,                0.68546,                 1.1214,                0.75954,                 1.2166,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.1742,                0.82103,                 1.1748,                0.34977,                0.74648,                0.30583,                0.19633,                 1.2696,                 1.6862,                  1.366,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.1633,                0.82063,                 1.1699,                0.93046,                0.94228,                 0.9672,                0.68551,                 1.0821,                0.94042,                 1.2372,              0.0013664,              0.0013664,              0.0013664
                     11,                  1.215,                0.80103,                 1.2339,                0.84096,                0.91549,                0.95438,                0.63261,                 1.1506,                0.96849,                 1.2216,              0.0012872,              0.0012872,              0.0012872
                     12,                  1.147,                0.77859,                 1.1601,                0.97118,                0.98592,                0.98332,                0.73502,                0.89431,                0.76959,                  1.096,               0.001208,               0.001208,               0.001208
                     13,                 1.1092,                0.71311,                 1.1222,                0.96854,                0.98592,                0.98477,                0.73885,                0.97113,                0.66238,                  1.111,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0833,                0.70998,                  1.142,                0.90884,                0.98297,                0.98334,                0.71787,                 1.0335,                0.64376,                 1.1369,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0206,                0.63213,                 1.1037,                0.95365,                0.91549,                0.98395,                0.75874,                0.90607,                0.60254,                 1.0771,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.0139,                0.58651,                 1.0969,                0.98421,                0.94366,                0.97872,                0.75104,                0.95826,                0.57859,                 1.0842,              0.0008912,              0.0008912,              0.0008912
                     17,                0.95558,                0.57263,                 1.0586,                0.97999,                0.98592,                0.99385,                0.77951,                0.87414,                 0.5303,                 1.0316,               0.000812,               0.000812,               0.000812
                     18,                0.98237,                0.58152,                 1.0875,                      1,                0.98264,                0.98651,                0.75484,                0.81791,                0.55434,                 1.0355,              0.0007328,              0.0007328,              0.0007328
                     19,                0.93313,                0.57568,                 1.0683,                0.99513,                0.97183,                0.99014,                0.75712,                0.96318,                0.53804,                 1.1104,              0.0006536,              0.0006536,              0.0006536
                     20,                0.96205,                0.57244,                  1.092,                0.98447,                0.97183,                0.99161,                0.78326,                0.90694,                0.55328,                 1.0756,              0.0005744,              0.0005744,              0.0005744
                     21,                0.89806,                0.53931,                 1.0664,                0.98591,                0.98565,                0.99213,                0.77715,                0.86548,                0.52931,                 1.0553,              0.0004952,              0.0004952,              0.0004952
                     22,                0.87881,                0.56162,                 1.0282,                 0.9924,                0.97183,                0.99432,                0.77871,                0.88826,                 0.4779,                 1.0586,               0.000416,               0.000416,               0.000416
                     23,                 0.8485,                0.54147,                 1.0201,                0.99713,                0.98592,                0.99447,                0.77637,                0.86691,                0.45763,                  1.043,              0.0003368,              0.0003368,              0.0003368
                     24,                 0.8316,                0.47922,                 1.0133,                0.99766,                0.98592,                0.99459,                0.78412,                0.83161,                0.45265,                 1.0228,              0.0002576,              0.0002576,              0.0002576
                     25,                0.82768,                0.46262,                 1.0181,                0.99824,                0.98592,                0.99434,                0.79802,                0.81557,                0.43308,                 1.0158,              0.0001784,              0.0001784,              0.0001784
